county,year,temp
1,1985,52.74
1,1990,55.06
1,1995,52.84
1,2000,53.08
1,2005,54.30
1,2010,54.07
1,2015,54.03
3,1985,50.18
3,1990,52.20
3,1995,50.00
3,2000,50.35
3,2005,51.13
3,2010,51.44
3,2015,51.10
5,1985,48.66
5,1990,50.81
5,1995,48.47
5,2000,48.98
5,2005,49.88
5,2010,50.09
5,2015,49.81
7,1985,47.99
7,1990,50.31
7,1995,48.23
7,2000,48.57
7,2005,49.18
7,2010,49.41
7,2015,48.69
9,1985,51.92
9,1990,54.03
9,1995,51.67
9,2000,52.16
9,2005,53.26
9,2010,52.70
9,2015,53.07
11,1985,50.12
11,1990,52.25
11,1995,50.03
11,2000,50.39
11,2005,51.10
11,2010,51.39
11,2015,51.06
13,1985,50.57
13,1990,52.73
13,1995,50.46
13,2000,50.99
13,2005,52.21
13,2010,51.48
13,2015,51.84
15,1985,52.42
15,1990,54.67
15,1995,52.57
15,2000,52.75
15,2005,53.93
15,2010,53.74
15,2015,53.77
17,1985,52.32
17,1990,54.54
17,1995,52.47
17,2000,52.69
17,2005,53.66
17,2010,53.24
17,2015,53.57
19,1985,49.18
19,1990,51.44
19,1995,49.27
19,2000,49.47
19,2005,50.78
19,2010,50.52
19,2015,51.05
21,1985,50.12
21,1990,52.50
21,1995,50.01
21,2000,50.52
21,2005,51.43
21,2010,51.25
21,2015,51.06
23,1985,50.72
23,1990,53.14
23,1995,50.69
23,2000,51.06
23,2005,52.06
23,2010,51.78
23,2015,51.71
25,1985,52.89
25,1990,55.10
25,1995,53.01
25,2000,53.26
25,2005,54.45
25,2010,54.08
25,2015,53.94
27,1985,51.36
27,1990,53.72
27,1995,51.24
27,2000,51.72
27,2005,52.73
27,2010,52.47
27,2015,52.91
29,1985,48.97
29,1990,51.50
29,1995,49.42
29,2000,49.24
29,2005,50.78
29,2010,50.56
29,2015,50.36
31,1985,50.03
31,1990,52.27
31,1995,49.73
31,2000,50.35
31,2005,51.52
31,2010,51.24
31,2015,51.40
33,1985,48.85
33,1990,51.18
33,1995,48.68
33,2000,49.40
33,2005,50.13
33,2010,50.30
33,2015,50.42
35,1985,49.07
35,1990,51.59
35,1995,49.87
35,2000,49.91
35,2005,50.83
35,2010,51.32
35,2015,50.40
37,1985,50.05
37,1990,52.42
37,1995,50.03
37,2000,50.33
37,2005,51.42
37,2010,51.19
37,2015,51.86
39,1985,49.54
39,1990,51.47
39,1995,49.43
39,2000,49.83
39,2005,50.61
39,2010,51.27
39,2015,50.42
41,1985,50.60
41,1990,52.88
41,1995,50.19
41,2000,51.04
41,2005,51.84
41,2010,51.71
41,2015,51.72
43,1985,49.86
43,1990,52.09
43,1995,49.61
43,2000,50.30
43,2005,51.13
43,2010,51.43
43,2015,50.73
45,1985,50.96
45,1990,53.49
45,1995,50.87
45,2000,51.33
45,2005,52.62
45,2010,51.97
45,2015,52.39
47,1985,51.15
47,1990,53.53
47,1995,50.84
47,2000,51.43
47,2005,52.52
47,2010,52.12
47,2015,52.27
49,1985,51.53
49,1990,53.93
49,1995,51.27
49,2000,51.83
49,2005,52.82
49,2010,52.52
49,2015,52.62
51,1985,49.05
51,1990,51.03
51,1995,49.28
51,2000,49.45
51,2005,50.16
51,2010,51.17
51,2015,49.64
53,1985,53.42
53,1990,55.55
53,1995,53.11
53,2000,53.78
53,2005,54.90
53,2010,54.24
53,2015,54.28
55,1985,47.52
55,1990,50.06
55,1995,47.86
55,2000,48.13
55,2005,49.06
55,2010,49.27
55,2015,48.91
57,1985,51.37
57,1990,53.72
57,1995,51.27
57,2000,51.68
57,2005,52.73
57,2010,52.44
57,2015,52.68
59,1985,50.67
59,1990,52.84
59,1995,50.37
59,2000,50.93
59,2005,52.03
59,2010,51.60
59,2015,52.01
61,1985,53.17
61,1990,55.45
61,1995,53.31
61,2000,53.67
61,2005,54.60
61,2010,54.24
61,2015,54.24
63,1985,49.89
63,1990,52.03
63,1995,49.74
63,2000,50.20
63,2005,51.00
63,2010,51.42
63,2015,51.00
65,1985,49.77
65,1990,51.94
65,1995,49.48
65,2000,50.03
65,2005,50.92
65,2010,50.98
65,2015,50.82
67,1985,49.79
67,1990,51.98
67,1995,49.71
67,2000,50.27
67,2005,51.38
67,2010,50.96
67,2015,51.43
69,1985,49.68
69,1990,51.78
69,1995,49.80
69,2000,50.09
69,2005,50.80
69,2010,51.57
69,2015,50.52
71,1985,51.76
71,1990,54.09
71,1995,51.63
71,2000,52.07
71,2005,53.03
71,2010,52.77
71,2015,53.23
73,1985,51.09
73,1990,53.46
73,1995,50.95
73,2000,51.41
73,2005,52.71
73,2010,52.10
73,2015,52.43
75,1985,49.02
75,1990,51.34
75,1995,48.86
75,2000,49.53
75,2005,50.64
75,2010,50.47
75,2015,50.53
77,1985,49.10
77,1990,51.27
77,1995,48.85
77,2000,49.43
77,2005,50.32
77,2010,50.58
77,2015,49.96
79,1985,52.41
79,1990,54.36
79,1995,52.23
79,2000,52.81
79,2005,54.07
79,2010,53.73
79,2015,53.31
81,1985,50.28
81,1990,52.45
81,1995,50.21
81,2000,50.43
81,2005,51.77
81,2010,51.26
81,2015,51.37
83,1985,49.19
83,1990,51.52
83,1995,48.88
83,2000,49.63
83,2005,50.51
83,2010,50.28
83,2015,50.33
85,1985,48.77
85,1990,51.16
85,1995,49.05
85,2000,49.46
85,2005,50.15
85,2010,50.48
85,2015,50.21
87,1985,53.61
87,1990,56.11
87,1995,53.57
87,2000,54.14
87,2005,55.25
87,2010,54.67
87,2015,54.95
89,1985,50.17
89,1990,52.63
89,1995,49.93
89,2000,50.46
89,2005,51.50
89,2010,51.11
89,2015,51.51
91,1985,49.72
91,1990,51.97
91,1995,49.50
91,2000,50.01
91,2005,51.04
91,2010,50.96
91,2015,50.71
93,1985,49.57
93,1990,51.83
93,1995,49.58
93,2000,50.14
93,2005,51.02
93,2010,51.52
93,2015,49.79
95,1985,49.98
95,1990,52.07
95,1995,50.22
95,2000,50.33
95,2005,51.15
95,2010,51.96
95,2015,50.57
97,1985,50.94
97,1990,53.22
97,1995,50.62
97,2000,51.10
97,2005,52.14
97,2010,51.95
97,2015,51.73
99,1985,48.43
99,1990,51.02
99,1995,48.78
99,2000,48.93
99,2005,50.08
99,2010,50.06
99,2015,50.13
101,1985,49.65
101,1990,52.12
101,1995,49.33
101,2000,50.32
101,2005,51.04
101,2010,51.14
101,2015,51.41
103,1985,48.95
103,1990,51.24
103,1995,49.18
103,2000,49.50
103,2005,50.43
103,2010,50.82
103,2015,49.90
105,1985,52.77
105,1990,54.87
105,1995,52.49
105,2000,53.11
105,2005,54.07
105,2010,53.51
105,2015,53.38
107,1985,50.06
107,1990,52.30
107,1995,50.08
107,2000,50.36
107,2005,51.11
107,2010,51.47
107,2015,51.06
109,1985,50.73
109,1990,53.13
109,1995,50.86
109,2000,51.22
109,2005,52.16
109,2010,52.11
109,2015,52.48
111,1985,51.30
111,1990,53.42
111,1995,51.06
111,2000,51.51
111,2005,52.69
111,2010,51.97
111,2015,52.44
113,1985,51.57
113,1990,53.86
113,1995,51.66
113,2000,51.93
113,2005,52.99
113,2010,52.90
113,2015,53.16
115,1985,51.42
115,1990,53.38
115,1995,51.11
115,2000,51.42
115,2005,52.76
115,2010,52.21
115,2015,52.61
117,1985,49.00
117,1990,51.39
117,1995,48.66
117,2000,49.57
117,2005,50.29
117,2010,50.30
117,2015,50.31
119,1985,50.88
119,1990,52.97
119,1995,50.48
119,2000,51.02
119,2005,52.13
119,2010,51.78
119,2015,52.07
121,1985,51.16
121,1990,53.36
121,1995,50.92
121,2000,51.35
121,2005,52.54
121,2010,51.99
121,2015,52.54
123,1985,50.02
123,1990,52.35
123,1995,50.08
123,2000,50.50
123,2005,51.51
123,2010,51.82
123,2015,51.02
125,1985,49.90
125,1990,51.78
125,1995,49.62
125,2000,50.09
125,2005,50.84
125,2010,51.32
125,2015,50.70
127,1985,50.71
127,1990,52.94
127,1995,50.42
127,2000,50.80
127,2005,52.05
127,2010,51.63
127,2015,52.07
129,1985,51.92
129,1990,54.33
129,1995,51.70
129,2000,52.21
129,2005,53.48
129,2010,52.84
129,2015,52.78
131,1985,52.40
131,1990,54.53
131,1995,52.11
131,2000,52.53
131,2005,53.92
131,2010,53.42
131,2015,53.23
133,1985,48.27
133,1990,50.63
133,1995,48.48
133,2000,48.62
133,2005,49.84
133,2010,49.93
133,2015,50.12
135,1985,50.61
135,1990,52.97
135,1995,50.73
135,2000,50.96
135,2005,52.07
135,2010,51.85
135,2015,52.10
137,1985,50.17
137,1990,52.14
137,1995,49.93
137,2000,50.30
137,2005,51.06
137,2010,51.64
137,2015,51.05
139,1985,48.40
139,1990,50.54
139,1995,48.24
139,2000,48.79
139,2005,49.55
139,2010,49.83
139,2015,49.85
141,1985,52.08
141,1990,54.31
141,1995,51.75
141,2000,52.25
141,2005,53.56
141,2010,52.99
141,2015,52.87
143,1985,49.92
143,1990,52.18
143,1995,49.83
143,2000,50.39
143,2005,51.41
143,2010,51.58
143,2015,50.88
145,1985,53.00
145,1990,55.13
145,1995,52.98
145,2000,53.44
145,2005,54.86
145,2010,54.36
145,2015,54.14
147,1985,49.55
147,1990,51.75
147,1995,49.36
147,2000,50.01
147,2005,50.90
147,2010,50.92
147,2015,50.45
149,1985,50.13
149,1990,52.26
149,1995,49.97
149,2000,50.41
149,2005,51.23
149,2010,51.25
149,2015,51.14
151,1985,48.80
151,1990,51.08
151,1995,48.99
151,2000,49.19
151,2005,50.42
151,2010,50.55
151,2015,51.21
153,1985,49.00
153,1990,51.17
153,1995,49.36
153,2000,49.43
153,2005,50.67
153,2010,50.86
153,2015,51.12
155,1985,48.21
155,1990,50.66
155,1995,48.48
155,2000,48.74
155,2005,49.57
155,2010,49.77
155,2015,49.49
157,1985,49.68
157,1990,51.83
157,1995,49.44
157,2000,49.98
157,2005,51.10
157,2010,50.94
157,2015,51.53
159,1985,50.41
159,1990,52.64
159,1995,49.97
159,2000,50.78
159,2005,51.62
159,2010,51.76
159,2015,51.50
161,1985,50.03
161,1990,52.04
161,1995,49.97
161,2000,50.38
161,2005,51.13
161,2010,51.31
161,2015,50.77
163,1985,51.73
163,1990,53.82
163,1995,51.56
163,2000,52.20
163,2005,53.30
163,2010,53.02
163,2015,52.68
165,1985,52.37
165,1990,54.53
165,1995,52.35
165,2000,52.60
165,2005,53.63
165,2010,53.35
165,2015,53.70
167,1985,52.32
167,1990,54.52
167,1995,52.12
167,2000,52.45
167,2005,53.62
167,2010,52.96
167,2015,53.85
169,1985,48.89
169,1990,51.21
169,1995,48.86
169,2000,49.34
169,2005,50.34
169,2010,50.41
169,2015,50.16
171,1985,48.72
171,1990,50.56
171,1995,48.78
171,2000,49.05
171,2005,49.91
171,2010,50.78
171,2015,49.50
173,1985,50.04
173,1990,52.17
173,1995,50.14
173,2000,50.40
173,2005,51.28
173,2010,51.87
173,2015,50.99
175,1985,49.59
175,1990,51.91
175,1995,49.50
175,2000,50.11
175,2005,50.92
175,2010,51.01
175,2015,50.99
